title,author,length
80. A Game of Thrones,By: George R.R. Martin,Length: 33 hrs and 46 mins
81. The Devil's Hand,By: Jack Carr,Length: 14 hrs and 37 mins
82. Meant to Be,By: Emily Giffin,Length: 11 hrs and 31 mins
83. The Guest List,By: Lucy Foley,Length: 10 hrs and 22 mins
84. Dare to Lead,By: Brené Brown,Length: 8 hrs and 10 mins
85. Last on the List,By: Amy Daws,Length: 11 hrs and 6 mins
86. A Promised Land,By: Barack Obama,Length: 29 hrs and 10 mins
87. Under the Banner of Heaven,By: Jon Krakauer,Length: 12 hrs and 29 mins
88. Daisy Jones & The Six,By: Taylor Jenkins Reid,Length: 9 hrs and 3 mins
89. Unfu*k Yourself,By: Gary John Bishop,Length: 3 hrs and 24 mins
90. Farilane,By: Michael J. Sullivan,Length: 13 hrs and 44 mins
91. Becoming Supernatural,By: Joe Dispenza,Length: 14 hrs and 6 mins
92. Kitchen Confidential,By: Anthony Bourdain,Length: 8 hrs and 19 mins
93. Sapiens,By: Yuval Noah Harari,Length: 15 hrs and 18 mins
94. The Storyteller,By: Dave Grohl,Length: 10 hrs and 35 mins
95. Will,"By: Will Smith, Mark Manson",Length: 16 hrs and 16 mins
96. The Maid,By: Nita Prose,Length: 9 hrs and 37 mins
97. The Summer I Turned Pretty,By: Jenny Han,Length: 6 hrs
98. Nightwork,By: Nora Roberts,Length: 16 hrs and 22 mins
99. Beyond Order,By: Jordan B. Peterson,Length: 13 hrs and 11 mins
100. How to Keep House While Drowning,By: KC Davis LPC,Length: 3 hrs and 3 mins
