title,author,length
73. He Who Fights with Monsters 6,"By: Shirtaloon, Travis Deverell",Length: 15 hrs and 47 mins
74. The Five Love Languages: The Secret to Love That Lasts,By: Gary Chapman,Length: 4 hrs and 46 mins
75. Counterfeit,By: Kirstin Chen,Length: 7 hrs and 20 mins
76. The Untethered Soul,By: Michael A. Singer,Length: 6 hrs and 11 mins
77. The Devil's Hand,By: Jack Carr,Length: 14 hrs and 37 mins
78. A Court of Thorns and Roses,By: Sarah J. Maas,Length: 16 hrs and 7 mins
79. People We Meet on Vacation,By: Emily Henry,Length: 10 hrs and 46 mins
80. The Chronicles of Narnia Complete Audio Collection,By: C. S. Lewis,Length: 33 hrs and 45 mins
81. Dare to Lead,By: Brené Brown,Length: 8 hrs and 10 mins
82. Meant to Be,By: Emily Giffin,Length: 11 hrs and 31 mins
83. A Game of Thrones,By: George R.R. Martin,Length: 33 hrs and 46 mins
84. The Guest List,By: Lucy Foley,Length: 10 hrs and 22 mins
85. Unfu*k Yourself,By: Gary John Bishop,Length: 3 hrs and 24 mins
86. A Promised Land,By: Barack Obama,Length: 29 hrs and 10 mins
87. Under the Banner of Heaven,By: Jon Krakauer,Length: 12 hrs and 29 mins
88. Farilane,By: Michael J. Sullivan,Length: 13 hrs and 44 mins
89. Becoming Supernatural,By: Joe Dispenza,Length: 14 hrs and 6 mins
90. Daisy Jones & The Six,By: Taylor Jenkins Reid,Length: 9 hrs and 3 mins
91. The Storyteller,By: Dave Grohl,Length: 10 hrs and 35 mins
92. Will,"By: Will Smith, Mark Manson",Length: 16 hrs and 16 mins
93. The Maid,By: Nita Prose,Length: 9 hrs and 37 mins
94. Kitchen Confidential,By: Anthony Bourdain,Length: 8 hrs and 19 mins
95. Sapiens,By: Yuval Noah Harari,Length: 15 hrs and 18 mins
96. The Way of Kings,By: Brandon Sanderson,Length: 45 hrs and 30 mins
97. The Summer I Turned Pretty,By: Jenny Han,Length: 6 hrs
98. The Stand,By: Stephen King,Length: 47 hrs and 47 mins
99. Nightwork,By: Nora Roberts,Length: 16 hrs and 22 mins
100. Beyond Order,By: Jordan B. Peterson,Length: 13 hrs and 11 mins
